movie_code,week,sales,audience,screens
1000183,2,341995800,43517,3537
1000184,2,882522666,94351,4345
1000185,2,662090414,80452,2595
1000186,2,321289700,42433,3178
1000187,2,1036065712,135974,4105
1000188,2,1386986740,162404,3344
1000189,2,871670929,89204,4981
1000190,2,499955400,62830,3921
1000191,2,681016300,93085,3613
1000192,2,586267505,62825,4717
1000193,2,735125880,90166,3951
1000194,2,361451850,39241,4361
1000195,2,836373655,101803,
1000196,2,736234575,96658,2998
1000197,2,762496310,92994,3140
1000198,2,660844000,89975,3061
1000199,2,195496900,26875,1122
1000200,2,642876335,68438,3902
1000201,2,1746930237,222079,3433
1000202,2,455948760,54666,2354
1000203,2,446727265,58574,3215
1000204,2,1277970484,160928,2800
