movie_code,distributor_name
1000510,월트디즈니컴퍼니코리아 유한책임회사
1000511,(주)팝엔터테인먼트
1000512,롯데컬처웍스(주)롯데엔터테인먼트
1000513,(주)스튜디오디에이치엘
1000514,(주)콘텐츠판다
1000515,(주)키다리이엔티
1000516,(주)대명문화공장
1000516,(주)나이너스엔터테인먼트
1000517,(주)에스에이엠지엔터테인먼트
1000518,(주)넥스트엔터테인먼트월드(NEW)
1000519,롯데컬처웍스(주)롯데엔터테인먼트
1000520,(주)스톰픽쳐스코리아
1000520,(주)이수C&E
1000521,(주)드림팩트엔터테인먼트
1000521,파이오니아21
1000522,(주)영화특별시에스엠씨
1000523,(주)마인스 엔터테인먼트
1000524,(주)넥스트엔터테인먼트월드(NEW)
1000525,(주)스톰픽쳐스코리아
1000525,TCO(주)더콘텐츠온
1000526,메가박스중앙(주) 플러스엠 엔터테인먼트
1000527,메가박스중앙(주) 플러스엠 엔터테인먼트
1000528,TCO(주)더콘텐츠온
1000528,(주)블루라벨픽쳐스
1000528,(주)대교 미디어콘텐츠사업본부
1000529,롯데컬처웍스(주)롯시플
1000529,(주)영화사 그램
1000530,플레이리스트(주)
1000531,(주)박수엔터테인먼트
1000532,TCO(주)더콘텐츠온
1000532,(주)블루라벨픽쳐스
1000533,씨제이포디플렉스 주식회사
1000534,영화사빅
1000535,(주)갤리온엔터테인먼트
1000535,영화로운 형제
1000536,롯데컬처웍스(주)롯데엔터테인먼트
1000537,(주)다자인소프트
1000538,(주)디스테이션
1000539,(주)영화특별시에스엠씨
1000540,(주)영화특별시에스엠씨
1000541,(주)라이크콘텐츠
1000542,롯데컬처웍스(주)롯데엔터테인먼트
1000543,씨제이 씨지브이(CJ CGV)(주)
1000544,(주)박수엔터테인먼트
1000545,와이드 릴리즈(주)
1000546,와이드 릴리즈(주)
1000547,(주)에스에이엠지엔터테인먼트
1000548,씨제이 씨지브이(CJ CGV)(주)
1000549,(주)라온컴퍼니플러스
1000550,씨지브이 아이스콘
1000551,와이드 릴리즈(주)
1000552,(주)케이티알파
1000552,판씨네마(주)
1000553,(주)리틀빅픽쳐스
1000554,더핑크퐁컴퍼니(주)
1000555,주식회사 콘텐츠존
1000555,(주)다자인소프트
1000556,(주)중헌홀딩스
1000557,오퍼스픽쳐스(유)
1000558,주식회사 넘버쓰리픽쳐스
1000559,(주)제이앤씨미디어그룹
1000560,(주)이놀미디어
1000561,와이드 릴리즈(주)
1000562,(주)영화특별시에스엠씨
1000563,(주)메리크리스마스
1000564,(주)이놀미디어
1000565,씨제이 씨지브이(CJ CGV)(주)
1000565,씨지브이 아이스콘
1000566,(주)스톰픽쳐스코리아
1000567,(주)지티지그룹
1000567,와이드 릴리즈(주)
1000568,메가박스중앙(주) 플러스엠 엔터테인먼트
1000569,(주)스톰픽쳐스코리아
1000570,트윈플러스파트너스(주)
1000571,(주)씨제이이엔엠
1000572,(주)에이원엔터테인먼트
1000573,(주)팝엔터테인먼트
1000574,씨지브이 아이스콘
1000575,(주)로이비쥬얼
1000576,(주)영화특별시에스엠씨
1000577,와이드 릴리즈(주)
1000578,(주)드림팩트엔터테인먼트
1000579,와이드 릴리즈(주)
1000579,(주)제이앤씨미디어그룹
1000580,씨제이 씨지브이(CJ CGV)(주)
1000581,씨제이 씨지브이(CJ CGV)(주)
1000581,씨지브이 아이스콘
1000582,(주)에스에이엠지엔터테인먼트
1000583,케이비에스미디어(주)
1000583,KBS 미디어
1000584,(주)니즈텔레콤
1000585,와이드 릴리즈(주)
1000586,씨제이 씨지브이(CJ CGV)(주)
1000587,TCO(주)더콘텐츠온
1000587,와이드 릴리즈(주)
1000587,(주)제이앤씨미디어그룹
1000588,(주)박수엔터테인먼트
1000589,(주)박수엔터테인먼트
1000590,(주)나이너스엔터테인먼트
1000590,윌스튜디오 주식회사
1000591,(주)인벤트스톤
1000592,롯데컬처웍스(주)롯시플
1000593,트윈플러스파트너스(주)
